x,y
93,35
92,36
91,37
90,37
89,37
88,37
87,37
86,37
85,37
84,37
83,37
82,37
81,37
80,37
79,37
78,37
78,38
78,39
78,40
78,41
78,42
78,43
78,44
78,45
77,44
76,43
75,42
74,41
73,41
72,41
71,41
70,40
69,39
68,38
67,37
66,36
65,35
65,34
65,33
65,32
65,31
65,30
65,29
65,28
65,27
64,27
63,27
62,27
61,27
60,27
59,27
58,27
57,27
56,27
55,27
54,27
53,27
52,27
51,27
50,27
49,27
50,28
51,29
52,30
53,31
53,32
53,33
53,34
54,33
55,32
56,31
57,30
58,29
59,28
59,27
59,26
59,25
59,24
59,23
59,22
59,21
59,20
59,19
59,18
59,17
59,16
59,15
59,14
59,13
59,12
59,11
59,10
59,9
59,8
59,7
59,6
59,5
59,4
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
99,4
99,5
99,6
99,7
99,8
99,9
99,10
99,11
98,11
97,11
96,11
95,11
94,11
93,11
92,11
91,11
90,11
89,11
88,11
87,11
86,11
85,11
84,11
83,11
82,11
81,11
80,11
79,11
78,11
77,11
76,11
75,11
74,11
73,12
72,12
71,12
70,12
69,12
68,12
67,12
66,13
66,14
66,15
65,14
64,13
63,12
62,11
61,10
60,9
59,8
59,7
59,6
59,5
59,4
59,3
58,2
57,2
56,2
55,2
54,2
53,2
52,2
51,2
50,2
49,2
48,2
47,2
46,2
45,2
44,2
43,2
42,2
41,2
40,2
39,2
38,2
37,2
36,2
35,2
34,3
33,4
32,5
31,6
30,7
29,8
28,9
27,10
26,10
25,10
24,10
23,10
22,10
21,10
20,10
19,10
18,10
17,10
16,10
15,10
14,10
14,11
14,12
14,13
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
14,40
14,41
14,42
15,42
16,42
17,42
18,42
19,42
20,42
21,42
22,42
23,42
24,42
25,42
26,42
27,42
28,42
29,42
30,42
29,43
28,44
27,45
26,46
25,47
24,48
23,48
22,48
21,49
21,50
21,51
21,52
21,53
21,54
21,55
21,56
21,57
21,58
21,59
21,60
21,61
21,62
21,63
21,64
21,65
21,66
21,67
21,68
21,69
21,70
20,70
19,70
18,70
17,70
16,70
15,70
14,70
13,70
14,71
15,72
16,72
17,72
18,72
19,72
20,72
21,72
22,72
23,72
24,72
25,72
26,72
27,72
28,72
29,72
30,72
31,72
32,72
33,72
34,72
35,72
36,72
37,72
37,73
37,74
37,75
37,76
37,77
37,78
37,79
37,80
37,81
37,82
37,83
37,84
37,85
37,86
37,87
37,88
36,88
35,88
34,88
33,88
32,88
31,88
30,88
29,88
29,87
29,86
29,85
29,84
29,83
29,82
29,81
29,80
30,81
31,82
32,83
33,84
34,84
35,84
36,84
37,84
38,84
39,84
40,84
41,84
42,84
43,84
44,84
44,83
44,82
44,81
44,80
44,79
44,78
44,77
44,76
43,75
42,74
41,73
40,72
39,71
39,70
39,69
39,68
39,67
39,66
39,65
39,64
39,63
39,62
39,61
39,60
39,59
39,58
39,57
39,56
39,55
39,54
40,55
41,56
42,57
43,58
44,59
45,59
46,59
47,59
48,59
49,59
50,59
51,59
52,59
53,59
54,59
55,59
56,59
57,59
58,59
59,60
60,61
61,62
62,63
62,64
62,65
62,66
62,67
62,68
62,69
62,70
62,71
62,72
62,73
62,74
63,74
64,74
65,74
66,74
67,74
68,74
69,74
70,74
71,73
72,72
73,72
74,72
75,72
76,72
77,72
78,72
79,72
80,72
81,72
82,72
83,72
84,72
85,72
86,72
